Α,Άλφα
α,άλφα
Β,Βήτα
β,βήτα
Γ,Γάμμα
γ,λάμμα
Δ,Δέλτα
δ,δέλτα
Ε,Έψιλον
ε,εψιλον
Ζ,Ζήτα
ζ,ζήτα
Η,Ήτα
η,ητα
Θ,Θήτα
θ,θήτα
Ι,Ιώτα
ι,ιώτα
Κ,Κάππα
κ,κάππα
Λ,Λάμδα
λ,λάμδα
Μ,Μι
μ,μι
Ν,Νι
ν,νι
Ξ,Ξι
ξ,ξι
Ο,Όμικρον
ο,ομικρον
Π,Πι
π,πι
Ρ,Ρώ
ρ,ρώ
Σ,Σίγμα
σ,σίγμα
ς,σίγμα
Τ,Ταυ
τ,ταυ
Υ,Ύψιλον
υ,ύψιλον
Φ,Φι
φ,φι
Χ,Χι
χ,χι
Ψ,Ψι
ψ,ψι
Ω,Ώμέγα
ω,ωμέγα
